protein,is_seed,category,Copper,Iron,Magnesium,Selenium,Vitamin_B6,Vitamin_C,Zinc,num_nutrients
PIK3CB,False,Interactor,0,0,1,0,0,0,0,1
PIP5KL1,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4A,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4B,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4C,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4D,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4E,False,Interactor,0,0,1,0,0,0,0,1
PLA2G4F,False,Interactor,0,0,1,0,0,0,0,1
PLCG1,True,Mast cell signaling,0,0,1,0,0,0,0,1
PLCG2,True,Mast cell signaling,0,0,1,0,0,0,0,1
PNMT,False,Interactor,0,0,0,0,1,0,0,1
PPP1R13L,False,Interactor,0,0,0,0,0,0,0,0
PRG2,False,Interactor,0,1,0,0,0,0,0,1
PRG3,False,Interactor,0,0,0,0,0,0,0,0
PRKCA,False,Interactor,0,0,1,0,0,0,0,1
PRKCQ,False,Interactor,0,0,1,0,0,0,0,1
PRLR,False,Interactor,0,0,0,0,0,0,0,0
PTGDR2,False,Interactor,0,0,0,0,0,0,0,0
PTGS2,True,Inflammation,0,1,0,0,0,0,0,1
RELA,True,Inflammation,0,0,0,0,0,1,1,2
RNASE2,False,Interactor,0,1,0,0,0,0,0,1
RNASE3,False,Interactor,0,1,0,0,0,0,0,1
SAT2,False,Interactor,0,0,0,0,0,0,0,0
SETD6,False,Interactor,0,0,0,0,0,0,1,1
SH2D2A,False,Interactor,0,0,0,0,0,0,0,0
SH3BP2,False,Interactor,0,0,0,0,0,0,0,0
SHC2,False,Interactor,0,0,0,0,0,0,0,0
SHC4,False,Interactor,0,0,0,0,0,0,0,0
SIGLEC8,False,Interactor,0,0,0,0,0,0,0,0
SYK,True,Mast cell signaling,0,0,1,0,0,0,0,1
TEC,False,Interactor,0,0,1,0,0,0,0,1
TPSAB1,False,Interactor,0,0,0,0,0,0,0,0
TSLP,True,Cytokines,0,0,0,0,0,0,0,0
VAV2,False,Interactor,0,0,0,0,0,0,0,0
VAV3,False,Interactor,0,0,0,0,0,0,0,0
XCL1,False,Interactor,0,0,0,0,0,0,0,0
