nutrient,directly_affected,downstream_affected,total_impact,affected_proteins,downstream_proteins
Copper,2,12,14,AOC1; PAOX,HDC; HNMT; HRH1; HRH2; HRH3; HRH4; INMT; MAOA; MAOB; ODC1; PNMT; SAT2
Iron,8,38,46,ALOX5; EPX; LTC4S; NOS3; PRG2; PTGS2; RNASE2; RNASE3,CCL11; CCL24; CCL26; CCL5; CCR3; CLC; CXCL2; CXCL3; CYSLTR1; ICAM1; IL13; IL3; IL33; IL4; IL5; IL5RA; IL6R; IL9; JMJD7-PLA2G4B; MAP3K8
Magnesium,28,49,77,DGKA; INPP1; INPP5A; INPP5F; IPMK; ITPKA; ITPKB; ITPKC; MAP3K8; MINPP1; MTM1; NOS3; PI4K2B; PIK3AP1; PIK3CB; PIP5KL1; PLA2G4A; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4E; PLA2G4F; PLCG1; PLCG2; PRKCA; PRKCQ; SYK; TEC,BCL10; BLNK; CARD11; CBLB; CD3E; CD79A; CLEC1B; CLEC4C; CLEC6A; CLEC9A; DAPP1; DCC; FCAR; FCER1A; FCER1G; GAB2; GRAP2; HCST; ICAM1; IGHV3-11
Selenium,0,0,0,,
Vitamin_B6,5,15,20,HDC; MAOA; MAOB; ODC1; PNMT,AOC1; CMA1; CPA3; CPA4; FCER1A; HNMT; HRH1; HRH2; HRH3; HRH4; INMT; MS4A2; PAOX; SAT2; TPSAB1
Vitamin_C,5,23,28,NFKB1; NFKBID; NFKBIZ; NOS3; RELA,BCL10; CARD11; CXCL2; CXCL3; GRAP2; ICAM1; IL6R; MALT1; MAP3K8; NKIRAS1; NKIRAS2; NLRP12; PIK3CB; PLCG1; PLCG2; PPP1R13L; PRKCA; PRKCQ; PTGS2; SETD6
Zinc,13,28,41,ADAM33; BCL10; CARD11; CBLB; CPA3; CPA4; JMJD7-PLA2G4B; MALT1; NFKB1; NFKBID; NFKBIZ; RELA; SETD6,CLEC6A; CMA1; CXCL2; CXCL3; FCER1A; GRAP2; HDC; HNMT; ICAM1; IL6R; MAP3K8; MS4A2; NKIRAS1; NKIRAS2; NLRP12; NOS3; PIK3CB; PLCG1; PLCG2; PPP1R13L
