protein_A,protein_B,string_id_A,string_id_B,score,nscore,escore,dscore,tscore
CCL11,CCR3,9606.ENSP00000302234,9606.ENSP00000441600,0.999,0.0,0.999,0.9,0.999
RNASE3,CCL5,9606.ENSP00000302324,9606.ENSP00000474412,0.516,0.0,0.0,0.0,0.506
RNASE3,CCR3,9606.ENSP00000302324,9606.ENSP00000441600,0.581,0.0,0.0,0.0,0.543
RNASE3,PRG2,9606.ENSP00000302324,9606.ENSP00000312134,0.844,0.0,0.0,0.0,0.803
RNASE3,RNASE2,9606.ENSP00000302324,9606.ENSP00000303276,0.998,0.0,0.0,0.0,0.964
RNASE2,IL33,9606.ENSP00000303276,9606.ENSP00000370842,0.43,0.0,0.0,0.0,0.43
RNASE2,TSLP,9606.ENSP00000303276,9606.ENSP00000339804,0.435,0.0,0.0,0.0,0.435
RNASE2,CCL5,9606.ENSP00000303276,9606.ENSP00000474412,0.457,0.0,0.0,0.0,0.432
RNASE2,CCL24,9606.ENSP00000303276,9606.ENSP00000400533,0.463,0.0,0.0,0.0,0.447
RNASE2,SIGLEC8,9606.ENSP00000303276,9606.ENSP00000321077,0.526,0.0,0.0,0.0,0.506
RNASE2,IL13,9606.ENSP00000303276,9606.ENSP00000304915,0.541,0.0,0.0,0.0,0.541
RNASE2,CCR3,9606.ENSP00000303276,9606.ENSP00000441600,0.542,0.0,0.0,0.0,0.507
RNASE2,CCL26,9606.ENSP00000303276,9606.ENSP00000378365,0.542,0.0,0.0,0.0,0.542
RNASE2,IL5RA,9606.ENSP00000303276,9606.ENSP00000412209,0.617,0.0,0.0,0.0,0.582
RNASE2,PRG2,9606.ENSP00000303276,9606.ENSP00000312134,0.951,0.0,0.0,0.0,0.944
IL13,XCL1,9606.ENSP00000304915,9606.ENSP00000356792,0.4,0.0,0.0,0.0,0.379
IL13,CXCR6,9606.ENSP00000304915,9606.ENSP00000395704,0.404,0.0,0.0,0.0,0.4
IL13,CCL15,9606.ENSP00000304915,9606.ENSP00000484078,0.421,0.0,0.0,0.0,0.394
IL13,CCR10,9606.ENSP00000304915,9606.ENSP00000332504,0.44,0.0,0.0,0.0,0.404
IL13,CCR8,9606.ENSP00000304915,9606.ENSP00000326432,0.488,0.0,0.0,0.0,0.476
IL13,CCL8,9606.ENSP00000304915,9606.ENSP00000378118,0.516,0.0,0.0,0.0,0.503
IL13,CXCL11,9606.ENSP00000304915,9606.ENSP00000306884,0.581,0.0,0.0,0.0,0.581
IL13,CXCL2,9606.ENSP00000304915,9606.ENSP00000427279,0.585,0.0,0.0,0.0,0.577
IL13,CCR6,9606.ENSP00000304915,9606.ENSP00000343952,0.601,0.0,0.0,0.0,0.601
IL13,CXCR3,9606.ENSP00000304915,9606.ENSP00000362795,0.602,0.0,0.0,0.0,0.599
IL13,CXCL9,9606.ENSP00000304915,9606.ENSP00000354901,0.722,0.0,0.0,0.0,0.72
IL13,CCL18,9606.ENSP00000304915,9606.ENSP00000479955,0.747,0.0,0.0,0.0,0.729
IL13,CCR3,9606.ENSP00000304915,9606.ENSP00000441600,0.758,0.0,0.0,0.0,0.755
IL13,CCL5,9606.ENSP00000304915,9606.ENSP00000474412,0.834,0.0,0.0,0.0,0.834
CXCL11,IL33,9606.ENSP00000306884,9606.ENSP00000370842,0.455,0.0,0.0,0.0,0.431
CXCL11,CCL14,9606.ENSP00000306884,9606.ENSP00000479097,0.549,0.0,0.0,0.0,0.46
CXCL11,CCL28,9606.ENSP00000306884,9606.ENSP00000354416,0.583,0.0,0.0,0.5,0.201
CXCL11,CCL15,9606.ENSP00000306884,9606.ENSP00000484078,0.675,0.0,0.0,0.0,0.665
CXCL11,CCL18,9606.ENSP00000306884,9606.ENSP00000479955,0.686,0.0,0.0,0.0,0.595
CXCL11,CCR4,9606.ENSP00000306884,9606.ENSP00000332659,0.708,0.0,0.0,0.65,0.201
CXCL11,CCR10,9606.ENSP00000306884,9606.ENSP00000332504,0.771,0.0,0.0,0.65,0.373
CXCL11,CCR8,9606.ENSP00000306884,9606.ENSP00000326432,0.813,0.0,0.0,0.65,0.45
CXCL11,CXCR6,9606.ENSP00000306884,9606.ENSP00000395704,0.886,0.0,0.0,0.65,0.664
CXCL11,CCR6,9606.ENSP00000306884,9606.ENSP00000343952,0.892,0.0,0.0,0.65,0.702
CXCL11,CCR3,9606.ENSP00000306884,9606.ENSP00000441600,0.952,0.0,0.287,0.65,0.811
CXCL11,CCL26,9606.ENSP00000306884,9606.ENSP00000378365,0.997,0.0,0.994,0.0,0.574
CXCL11,CCL24,9606.ENSP00000306884,9606.ENSP00000400533,0.997,0.0,0.994,0.0,0.593
CXCL11,XCL1,9606.ENSP00000306884,9606.ENSP00000356792,0.997,0.0,0.994,0.0,0.507
CXCL11,CXCL14,9606.ENSP00000306884,9606.ENSP00000337065,0.997,0.0,0.994,0.0,0.57
CXCL11,CCL25,9606.ENSP00000306884,9606.ENSP00000375086,0.999,0.0,0.994,0.5,0.72
CXCL11,CCL8,9606.ENSP00000306884,9606.ENSP00000378118,0.999,0.0,0.994,0.0,0.79
CXCL11,CCL5,9606.ENSP00000306884,9606.ENSP00000474412,0.999,0.0,0.994,0.5,0.885
CXCL11,CXCL2,9606.ENSP00000306884,9606.ENSP00000427279,0.999,0.0,0.994,0.5,0.893
CXCL11,CXCL9,9606.ENSP00000306884,9606.ENSP00000354901,0.999,0.0,0.994,0.9,0.451
CXCL11,CXCR3,9606.ENSP00000306884,9606.ENSP00000362795,0.999,0.0,0.51,0.9,0.999
PRG2,CCR3,9606.ENSP00000312134,9606.ENSP00000441600,0.4,0.0,0.0,0.0,0.4
PRG2,IL5RA,9606.ENSP00000312134,9606.ENSP00000412209,0.429,0.0,0.0,0.0,0.418
SIGLEC8,CCR3,9606.ENSP00000321077,9606.ENSP00000441600,0.685,0.0,0.098,0.0,0.608
CCR8,CCR4,9606.ENSP00000326432,9606.ENSP00000332659,0.625,0.0,0.0,0.5,0.057
CCR8,CCL15,9606.ENSP00000326432,9606.ENSP00000484078,0.723,0.0,0.0,0.65,0.241
CCR8,CXCR6,9606.ENSP00000326432,9606.ENSP00000395704,0.725,0.0,0.0,0.5,0.447
CCR8,CXCR3,9606.ENSP00000326432,9606.ENSP00000362795,0.736,0.0,0.0,0.5,0.469
CCR8,CCL28,9606.ENSP00000326432,9606.ENSP00000354416,0.749,0.0,0.0,0.65,0.314
CCR8,CCR10,9606.ENSP00000326432,9606.ENSP00000332504,0.755,0.0,0.0,0.5,0.531
CCR8,CXCL2,9606.ENSP00000326432,9606.ENSP00000427279,0.773,0.0,0.0,0.65,0.369
CCR8,CCL26,9606.ENSP00000326432,9606.ENSP00000378365,0.778,0.0,0.0,0.65,0.393
CCR8,XCL1,9606.ENSP00000326432,9606.ENSP00000356792,0.808,0.0,0.0,0.65,0.454
CCR8,CXCL14,9606.ENSP00000326432,9606.ENSP00000337065,0.827,0.0,0.0,0.65,0.527
CCR8,CXCL9,9606.ENSP00000326432,9606.ENSP00000354901,0.827,0.0,0.0,0.65,0.48
CCR8,CCL24,9606.ENSP00000326432,9606.ENSP00000400533,0.85,0.0,0.0,0.65,0.59
CCR8,CCR6,9606.ENSP00000326432,9606.ENSP00000343952,0.872,0.0,0.0,0.5,0.746
CCR8,CCR3,9606.ENSP00000326432,9606.ENSP00000441600,0.908,0.0,0.0,0.5,0.821
CCR8,CCL25,9606.ENSP00000326432,9606.ENSP00000375086,0.91,0.0,0.0,0.65,0.755
CCR8,CCL5,9606.ENSP00000326432,9606.ENSP00000474412,0.934,0.0,0.0,0.65,0.808
CCR8,CCL8,9606.ENSP00000326432,9606.ENSP00000378118,0.978,0.0,0.0,0.65,0.939
CCR8,CCL18,9606.ENSP00000326432,9606.ENSP00000479955,0.997,0.0,0.0,0.65,0.992
CCR10,CCR4,9606.ENSP00000332504,9606.ENSP00000332659,0.534,0.0,0.0,0.5,0.107
CCR10,CXCR6,9606.ENSP00000332504,9606.ENSP00000395704,0.654,0.0,0.0,0.5,0.337
CCR10,CXCR3,9606.ENSP00000332504,9606.ENSP00000362795,0.716,0.0,0.0,0.5,0.441
CCR10,CCL15,9606.ENSP00000332504,9606.ENSP00000484078,0.716,0.0,0.0,0.65,0.222
CCR10,CCL24,9606.ENSP00000332504,9606.ENSP00000400533,0.732,0.0,0.0,0.65,0.214
CCR10,CXCL2,9606.ENSP00000332504,9606.ENSP00000427279,0.74,0.0,0.0,0.65,0.279
CCR10,CCR6,9606.ENSP00000332504,9606.ENSP00000343952,0.747,0.0,0.0,0.5,0.513
CCR10,CXCL14,9606.ENSP00000332504,9606.ENSP00000337065,0.748,0.0,0.0,0.65,0.31
CCR10,CCL26,9606.ENSP00000332504,9606.ENSP00000378365,0.757,0.0,0.0,0.65,0.29
CCR10,CCR3,9606.ENSP00000332504,9606.ENSP00000441600,0.757,0.0,0.0,0.5,0.533
CCR10,XCL1,9606.ENSP00000332504,9606.ENSP00000356792,0.761,0.0,0.0,0.65,0.344
CCR10,CCL18,9606.ENSP00000332504,9606.ENSP00000479955,0.764,0.0,0.0,0.65,0.325
CCR10,CCL25,9606.ENSP00000332504,9606.ENSP00000375086,0.793,0.0,0.0,0.65,0.435
CCR10,CCL8,9606.ENSP00000332504,9606.ENSP00000378118,0.842,0.0,0.0,0.65,0.564
CCR10,CXCL9,9606.ENSP00000332504,9606.ENSP00000354901,0.868,0.0,0.0,0.65,0.64
CCR10,CCL5,9606.ENSP00000332504,9606.ENSP00000474412,0.904,0.0,0.0,0.65,0.735
CCR10,CCL28,9606.ENSP00000332504,9606.ENSP00000354416,0.987,0.0,0.0,0.9,0.881
CCR4,CCR6,9606.ENSP00000332659,9606.ENSP00000343952,0.573,0.0,0.0,0.5,0.106
CCR4,CXCR6,9606.ENSP00000332659,9606.ENSP00000395704,0.577,0.0,0.0,0.5,0.076
CCR4,CXCR3,9606.ENSP00000332659,9606.ENSP00000362795,0.597,0.0,0.0,0.5,0.129
CCR4,CCR3,9606.ENSP00000332659,9606.ENSP00000441600,0.637,0.0,0.0,0.4,0.386
CCR4,CCL26,9606.ENSP00000332659,9606.ENSP00000378365,0.65,0.0,0.0,0.65,0.0
CCR4,CCL24,9606.ENSP00000332659,9606.ENSP00000400533,0.652,0.0,0.0,0.65,0.045
CCR4,CCL15,9606.ENSP00000332659,9606.ENSP00000484078,0.658,0.0,0.0,0.65,0.0
CCR4,CXCL14,9606.ENSP00000332659,9606.ENSP00000337065,0.659,0.0,0.0,0.65,0.066
CCR4,XCL1,9606.ENSP00000332659,9606.ENSP00000356792,0.668,0.0,0.0,0.65,0.078
CCR4,CCL28,9606.ENSP00000332659,9606.ENSP00000354416,0.678,0.0,0.0,0.65,0.089
CCR4,CXCL2,9606.ENSP00000332659,9606.ENSP00000427279,0.68,0.0,0.0,0.65,0.099
CCR4,CCL25,9606.ENSP00000332659,9606.ENSP00000375086,0.681,0.0,0.0,0.65,0.127
CCR4,CCL18,9606.ENSP00000332659,9606.ENSP00000479955,0.697,0.0,0.0,0.65,0.163
CCR4,CXCL9,9606.ENSP00000332659,9606.ENSP00000354901,0.708,0.0,0.0,0.65,0.195
CCR4,CCL8,9606.ENSP00000332659,9606.ENSP00000378118,0.708,0.0,0.0,0.65,0.189
CCR4,CCL5,9606.ENSP00000332659,9606.ENSP00000474412,0.977,0.0,0.294,0.9,0.68
PTGDR2,CCL5,9606.ENSP00000332812,9606.ENSP00000474412,0.561,0.0,0.0,0.0,0.561
PTGDR2,CCR3,9606.ENSP00000332812,9606.ENSP00000441600,0.578,0.0,0.0,0.0,0.288
CXCL14,CCL8,9606.ENSP00000337065,9606.ENSP00000378118,0.412,0.0,0.0,0.0,0.4
CXCL14,CCL18,9606.ENSP00000337065,9606.ENSP00000479955,0.441,0.0,0.0,0.0,0.417
CXCL14,CCL15,9606.ENSP00000337065,9606.ENSP00000484078,0.491,0.0,0.0,0.0,0.483
CXCL14,CCL14,9606.ENSP00000337065,9606.ENSP00000479097,0.492,0.0,0.0,0.0,0.478
CXCL14,CCL25,9606.ENSP00000337065,9606.ENSP00000375086,0.517,0.0,0.0,0.0,0.517
CXCL14,CCL24,9606.ENSP00000337065,9606.ENSP00000400533,0.604,0.0,0.0,0.0,0.604
CXCL14,CCR3,9606.ENSP00000337065,9606.ENSP00000441600,0.747,0.0,0.0,0.65,0.309
CXCL14,CXCR6,9606.ENSP00000337065,9606.ENSP00000395704,0.77,0.0,0.0,0.65,0.365
CXCL14,CCR6,9606.ENSP00000337065,9606.ENSP00000343952,0.843,0.0,0.0,0.65,0.572
CXCL14,CXCR3,9606.ENSP00000337065,9606.ENSP00000362795,0.866,0.0,0.0,0.65,0.632
CXCL14,CCL28,9606.ENSP00000337065,9606.ENSP00000354416,0.995,0.0,0.994,0.0,0.207
CXCL14,CXCL2,9606.ENSP00000337065,9606.ENSP00000427279,0.995,0.0,0.994,0.0,0.2
CXCL14,CCL5,9606.ENSP00000337065,9606.ENSP00000474412,0.996,0.0,0.994,0.0,0.476
CXCL14,CCL26,9606.ENSP00000337065,9606.ENSP00000378365,0.996,0.0,0.994,0.0,0.383
CXCL14,XCL1,9606.ENSP00000337065,9606.ENSP00000356792,0.996,0.0,0.994,0.0,0.404
CXCL14,CXCL9,9606.ENSP00000337065,9606.ENSP00000354901,0.997,0.0,0.994,0.0,0.542
TSLP,CCR6,9606.ENSP00000339804,9606.ENSP00000343952,0.465,0.0,0.0,0.0,0.465
TSLP,CCR3,9606.ENSP00000339804,9606.ENSP00000441600,0.479,0.0,0.0,0.0,0.479
TSLP,CCL5,9606.ENSP00000339804,9606.ENSP00000474412,0.54,0.0,0.0,0.0,0.54
TSLP,CXCL2,9606.ENSP00000339804,9606.ENSP00000427279,0.612,0.0,0.0,0.0,0.598
TSLP,CCL18,9606.ENSP00000339804,9606.ENSP00000479955,0.72,0.0,0.0,0.0,0.701
CCR6,IL33,9606.ENSP00000343952,9606.ENSP00000370842,0.489,0.0,0.0,0.0,0.475
CCR6,CCL28,9606.ENSP00000343952,9606.ENSP00000354416,0.687,0.0,0.0,0.65,0.142
CCR6,CXCR6,9606.ENSP00000343952,9606.ENSP00000395704,0.716,0.0,0.0,0.5,0.432
CCR6,CCL15,9606.ENSP00000343952,9606.ENSP00000484078,0.75,0.0,0.0,0.65,0.305
CCR6,CXCL2,9606.ENSP00000343952,9606.ENSP00000427279,0.795,0.0,0.0,0.65,0.439
CCR6,XCL1,9606.ENSP00000343952,9606.ENSP00000356792,0.795,0.0,0.0,0.65,0.419
CCR6,CXCR3,9606.ENSP00000343952,9606.ENSP00000362795,0.814,0.0,0.0,0.5,0.607
CCR6,CCL26,9606.ENSP00000343952,9606.ENSP00000378365,0.822,0.0,0.0,0.65,0.513
CCR6,CCL24,9606.ENSP00000343952,9606.ENSP00000400533,0.833,0.0,0.0,0.65,0.54
CCR6,CCL8,9606.ENSP00000343952,9606.ENSP00000378118,0.863,0.0,0.0,0.65,0.624
CCR6,CCL18,9606.ENSP00000343952,9606.ENSP00000479955,0.865,0.0,0.0,0.65,0.629
CCR6,CCL25,9606.ENSP00000343952,9606.ENSP00000375086,0.9,0.0,0.0,0.65,0.728
CCR6,CCR3,9606.ENSP00000343952,9606.ENSP00000441600,0.921,0.0,0.0,0.5,0.847
CCR6,CCL5,9606.ENSP00000343952,9606.ENSP00000474412,0.965,0.0,0.0,0.65,0.904
CCR6,CXCL9,9606.ENSP00000343952,9606.ENSP00000354901,0.98,0.0,0.0,0.65,0.945
CCL28,CXCR3,9606.ENSP00000354416,9606.ENSP00000362795,0.662,0.0,0.0,0.65,0.075
CCL28,CCL25,9606.ENSP00000354416,9606.ENSP00000375086,0.705,0.0,0.0,0.5,0.435
CCL28,CXCR6,9606.ENSP00000354416,9606.ENSP00000395704,0.74,0.0,0.0,0.65,0.063
CCL28,CCR3,9606.ENSP00000354416,9606.ENSP00000441600,0.928,0.0,0.0,0.9,0.309
CCL28,CCL26,9606.ENSP00000354416,9606.ENSP00000378365,0.995,0.0,0.994,0.0,0.201
CCL28,XCL1,9606.ENSP00000354416,9606.ENSP00000356792,0.995,0.0,0.994,0.0,0.245
CCL28,CCL5,9606.ENSP00000354416,9606.ENSP00000474412,0.997,0.0,0.994,0.5,0.173
CCL28,CXCL9,9606.ENSP00000354416,9606.ENSP00000354901,0.997,0.0,0.994,0.5,0.144
CCL28,CXCL2,9606.ENSP00000354416,9606.ENSP00000427279,0.997,0.0,0.994,0.5,0.18
CXCL9,CCL14,9606.ENSP00000354901,9606.ENSP00000479097,0.531,0.0,0.0,0.0,0.406
CXCL9,IL33,9606.ENSP00000354901,9606.ENSP00000370842,0.586,0.0,0.0,0.0,0.575
CXCL9,CCL15,9606.ENSP00000354901,9606.ENSP00000484078,0.598,0.0,0.0,0.0,0.58
CXCL9,CCL24,9606.ENSP00000354901,9606.ENSP00000400533,0.708,0.0,0.0,0.0,0.641
CXCL9,CCL18,9606.ENSP00000354901,9606.ENSP00000479955,0.776,0.0,0.0,0.0,0.622
CXCL9,CCL25,9606.ENSP00000354901,9606.ENSP00000375086,0.805,0.0,0.0,0.5,0.616
CXCL9,CCL8,9606.ENSP00000354901,9606.ENSP00000378118,0.846,0.0,0.0,0.0,0.715
CXCL9,CCR3,9606.ENSP00000354901,9606.ENSP00000441600,0.957,0.0,0.287,0.65,0.831
CXCL9,CXCR6,9606.ENSP00000354901,9606.ENSP00000395704,0.984,0.0,0.0,0.65,0.944
CXCL9,XCL1,9606.ENSP00000354901,9606.ENSP00000356792,0.997,0.0,0.994,0.0,0.589
CXCL9,CXCL2,9606.ENSP00000354901,9606.ENSP00000427279,0.997,0.0,0.994,0.5,0.161
CXCL9,CCL26,9606.ENSP00000354901,9606.ENSP00000378365,0.997,0.0,0.994,0.0,0.547
CXCL9,CXCR3,9606.ENSP00000354901,9606.ENSP00000362795,0.999,0.0,0.625,0.9,0.999
CXCL9,CCL5,9606.ENSP00000354901,9606.ENSP00000474412,0.999,0.0,0.994,0.5,0.948
XCL1,CCL15,9606.ENSP00000356792,9606.ENSP00000484078,0.431,0.0,0.0,0.0,0.409
XCL1,CCL18,9606.ENSP00000356792,9606.ENSP00000479955,0.455,0.0,0.0,0.0,0.422
XCL1,CCL25,9606.ENSP00000356792,9606.ENSP00000375086,0.68,0.0,0.0,0.0,0.68
XCL1,CCR3,9606.ENSP00000356792,9606.ENSP00000441600,0.809,0.0,0.0,0.65,0.466
XCL1,CXCR6,9606.ENSP00000356792,9606.ENSP00000395704,0.844,0.0,0.0,0.65,0.486
XCL1,CXCR3,9606.ENSP00000356792,9606.ENSP00000362795,0.851,0.0,0.0,0.65,0.57
XCL1,CCL24,9606.ENSP00000356792,9606.ENSP00000400533,0.994,0.0,0.994,0.0,0.14
XCL1,CCL26,9606.ENSP00000356792,9606.ENSP00000378365,0.994,0.0,0.994,0.0,0.112
XCL1,CXCL2,9606.ENSP00000356792,9606.ENSP00000427279,0.996,0.0,0.994,0.0,0.424
XCL1,CCL5,9606.ENSP00000356792,9606.ENSP00000474412,0.996,0.0,0.994,0.0,0.285
CXCR3,IL33,9606.ENSP00000362795,9606.ENSP00000370842,0.447,0.0,0.0,0.0,0.446
CXCR3,CCL15,9606.ENSP00000362795,9606.ENSP00000484078,0.744,0.0,0.0,0.65,0.297
CXCR3,CCL18,9606.ENSP00000362795,9606.ENSP00000479955,0.787,0.0,0.0,0.65,0.4
CXCR3,CCL25,9606.ENSP00000362795,9606.ENSP00000375086,0.901,0.0,0.0,0.65,0.725
CXCR3,CCL26,9606.ENSP00000362795,9606.ENSP00000378365,0.905,0.0,0.0,0.65,0.74
CXCR3,CCL24,9606.ENSP00000362795,9606.ENSP00000400533,0.909,0.0,0.0,0.65,0.747
CXCR3,CXCR6,9606.ENSP00000362795,9606.ENSP00000395704,0.927,0.0,0.0,0.5,0.777
CXCR3,CCL8,9606.ENSP00000362795,9606.ENSP00000378118,0.955,0.0,0.0,0.65,0.874
CXCR3,CXCL2,9606.ENSP00000362795,9606.ENSP00000427279,0.962,0.0,0.0,0.65,0.896
CXCR3,CCR3,9606.ENSP00000362795,9606.ENSP00000441600,0.963,0.0,0.0,0.5,0.928
CXCR3,CCL5,9606.ENSP00000362795,9606.ENSP00000474412,0.999,0.0,0.287,0.65,0.996
IL31,CCL18,9606.ENSP00000366234,9606.ENSP00000479955,0.418,0.0,0.0,0.0,0.418
IL31,CCL5,9606.ENSP00000366234,9606.ENSP00000474412,0.478,0.0,0.0,0.0,0.478
IL33,CCL8,9606.ENSP00000370842,9606.ENSP00000378118,0.412,0.0,0.0,0.0,0.392
IL33,CCL18,9606.ENSP00000370842,9606.ENSP00000479955,0.447,0.0,0.0,0.0,0.396
IL33,CCR3,9606.ENSP00000370842,9606.ENSP00000441600,0.479,0.0,0.0,0.0,0.479
IL33,CXCL2,9606.ENSP00000370842,9606.ENSP00000427279,0.549,0.0,0.0,0.0,0.523
IL33,CXCR6,9606.ENSP00000370842,9606.ENSP00000395704,0.597,0.0,0.0,0.0,0.591
IL33,CCL5,9606.ENSP00000370842,9606.ENSP00000474412,0.649,0.0,0.0,0.0,0.629
CCL25,CCL14,9606.ENSP00000375086,9606.ENSP00000479097,0.525,0.0,0.0,0.0,0.525
CCL25,CCL15,9606.ENSP00000375086,9606.ENSP00000484078,0.593,0.0,0.0,0.0,0.583
CCL25,CCL18,9606.ENSP00000375086,9606.ENSP00000479955,0.655,0.0,0.0,0.0,0.652
CCL25,CCL26,9606.ENSP00000375086,9606.ENSP00000378365,0.722,0.0,0.0,0.0,0.72
CCL25,CXCL2,9606.ENSP00000375086,9606.ENSP00000427279,0.731,0.0,0.0,0.5,0.485
CCL25,CCL24,9606.ENSP00000375086,9606.ENSP00000400533,0.747,0.0,0.0,0.0,0.741
CCL25,CCL8,9606.ENSP00000375086,9606.ENSP00000378118,0.747,0.0,0.0,0.0,0.747
CCL25,CCR3,9606.ENSP00000375086,9606.ENSP00000441600,0.866,0.0,0.0,0.65,0.633
CCL25,CXCR6,9606.ENSP00000375086,9606.ENSP00000395704,0.887,0.0,0.051,0.65,0.661
CCL25,CCL5,9606.ENSP00000375086,9606.ENSP00000474412,0.998,0.0,0.994,0.5,0.584
CCL8,CCL24,9606.ENSP00000378118,9606.ENSP00000400533,0.487,0.0,0.0,0.0,0.448
CCL8,CXCR6,9606.ENSP00000378118,9606.ENSP00000395704,0.782,0.0,0.0,0.65,0.369
CCL8,CCL5,9606.ENSP00000378118,9606.ENSP00000474412,0.995,0.0,0.994,0.0,0.191
CCL8,CCL26,9606.ENSP00000378118,9606.ENSP00000378365,0.995,0.0,0.994,0.0,0.25
CCL8,CCR3,9606.ENSP00000378118,9606.ENSP00000441600,0.996,0.0,0.0,0.65,0.991
CCL8,CXCL2,9606.ENSP00000378118,9606.ENSP00000427279,0.998,0.0,0.994,0.0,0.676
CCL26,CCL18,9606.ENSP00000378365,9606.ENSP00000479955,0.444,0.0,0.0,0.0,0.412
CCL26,CXCL2,9606.ENSP00000378365,9606.ENSP00000427279,0.693,0.0,0.0,0.0,0.689
CCL26,CXCR6,9606.ENSP00000378365,9606.ENSP00000395704,0.802,0.0,0.0,0.65,0.457
CCL26,CCL5,9606.ENSP00000378365,9606.ENSP00000474412,0.995,0.0,0.994,0.0,0.239
CCL26,CCR3,9606.ENSP00000378365,9606.ENSP00000441600,0.999,0.0,0.287,0.9,0.999
CXCR6,CCR3,9606.ENSP00000395704,9606.ENSP00000441600,0.768,0.0,0.0,0.5,0.512
CXCR6,CXCL2,9606.ENSP00000395704,9606.ENSP00000427279,0.776,0.0,0.0,0.65,0.388
CXCR6,CCL18,9606.ENSP00000395704,9606.ENSP00000479955,0.776,0.0,0.0,0.65,0.319
CXCR6,CCL24,9606.ENSP00000395704,9606.ENSP00000400533,0.79,0.0,0.0,0.65,0.425
CXCR6,CCL15,9606.ENSP00000395704,9606.ENSP00000484078,0.813,0.0,0.0,0.65,0.466
CXCR6,CCL5,9606.ENSP00000395704,9606.ENSP00000474412,0.955,0.0,0.0,0.65,0.849
CCL24,CCL18,9606.ENSP00000400533,9606.ENSP00000479955,0.511,0.0,0.0,0.0,0.447
CCL24,CXCL2,9606.ENSP00000400533,9606.ENSP00000427279,0.559,0.0,0.0,0.0,0.536
CCL24,CCL15,9606.ENSP00000400533,9606.ENSP00000484078,0.706,0.0,0.0,0.0,0.692
CCL24,CCL5,9606.ENSP00000400533,9606.ENSP00000474412,0.995,0.0,0.994,0.0,0.307
CCL24,CCR3,9606.ENSP00000400533,9606.ENSP00000441600,0.999,0.0,0.287,0.9,0.999
IL5RA,CCR3,9606.ENSP00000412209,9606.ENSP00000441600,0.806,0.0,0.0,0.0,0.645
CXCL2,CCL14,9606.ENSP00000427279,9606.ENSP00000479097,0.484,0.0,0.0,0.0,0.455
CXCL2,CCL15,9606.ENSP00000427279,9606.ENSP00000484078,0.685,0.0,0.0,0.0,0.68
CXCL2,CCL18,9606.ENSP00000427279,9606.ENSP00000479955,0.704,0.0,0.0,0.0,0.682
CXCL2,CCR3,9606.ENSP00000427279,9606.ENSP00000441600,0.875,0.0,0.0,0.65,0.653
CXCL2,CCL5,9606.ENSP00000427279,9606.ENSP00000474412,0.999,0.0,0.994,0.5,0.83
CCR3,CCL14,9606.ENSP00000441600,9606.ENSP00000479097,0.767,0.0,0.0,0.0,0.762
CCR3,CCL18,9606.ENSP00000441600,9606.ENSP00000479955,0.811,0.0,0.0,0.65,0.473
CCR3,CCL15,9606.ENSP00000441600,9606.ENSP00000484078,0.997,0.0,0.287,0.9,0.969
CCR3,CCL5,9606.ENSP00000441600,9606.ENSP00000474412,0.999,0.0,0.625,0.9,0.998
CCL5,CCL15,9606.ENSP00000474412,9606.ENSP00000484078,0.544,0.0,0.0,0.0,0.544
