gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
MS4A2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,-0.11764705882352947,-2.011111111111111,1.8934640522875816,0.0456840145103732,2.1959827156302616,up,,,Mast cell/allergy,None,High-affinity IgE receptor beta (FcεRIβ),0.002456544166201204
MTHFR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.023529411764706,5.888888888888888,0.1346405228758174,0.30575961258400003,1.0562401328112616,unchanged,,,Methylation,"FAD (Vitamin B2), Folate","5,10-MTHF → 5-MTHF",0.002456544166201204
MTR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.2294117647058815,6.466666666666667,-0.23725490196078525,0.019103553817646,-2.6889718831290503,unchanged,,,Methylation,"Vitamin B12 (cobalamin), 5-MTHF (folate)",Homocysteine → methionine,0.002456544166201204
MTRR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.141176470588236,5.133333333333334,0.007843137254901933,0.9033688647653895,0.12376725791243463,unchanged,,,Methylation,"FAD (Vitamin B2), SAM",MTR reactivation,0.002456544166201204
NFKB1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.135294117647058,6.188888888888889,-0.05359477124183076,0.5223132483596042,-0.6498299148546428,unchanged,,,Inflammation/NF-κB,Zinc (zinc finger),NF-κB p50 subunit,0.002456544166201204
PTGS2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.052941176470589,4.233333333333333,0.8196078431372555,0.07940816483235101,1.8855845090089411,up,,,Inflammation/NF-κB,Iron (heme),"COX-2, prostaglandin synthesis",0.002456544166201204
RELA,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.8882352941176475,4.888888888888889,-0.0006535947712418277,0.9955451452498076,-0.00567762694354553,unchanged,,,Inflammation/NF-κB,Zinc (zinc finger),NF-κB p65 subunit,0.002456544166201204
SLC11A2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.41764705882353,6.5,-0.0823529411764703,0.2918214687497067,-1.0819586828783347,unchanged,,,Nutrient transporters,Iron,Fe2+ / divalent metal transporter (DMT1),0.002456544166201204
SLC30A1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.576470588235294,5.511111111111111,0.06535947712418277,0.6204106164583486,0.5062877429578989,unchanged,,,Nutrient transporters,Zinc,Zinc efflux transporter,0.002456544166201204
SLC39A14,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,3.864705882352941,3.6222222222222222,0.24248366013071898,0.07033027205192588,1.9162605801084285,unchanged,,,Nutrient transporters,"Zinc, Iron, Manganese",Divalent metal importer,0.002456544166201204
SLC40A1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.417647058823529,5.300000000000001,0.1176470588235281,0.5907936231245494,0.5459341404305724,unchanged,,,Nutrient transporters,"Iron, Copper (hephaestin)",Iron exporter (ferroportin),0.002456544166201204
SLC41A1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.511764705882352,4.877777777777777,-0.3660130718954253,0.02471525465862392,-2.584734300422971,down,,,Nutrient transporters,Magnesium,Mg2+ transporter,0.002456544166201204
SOD1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.447058823529412,6.533333333333333,-0.08627450980392126,0.638681554674918,-0.4814749357792749,unchanged,,,Antioxidant defense,"Copper, Zinc",Cu/Zn superoxide dismutase,0.002456544166201204
