gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
TRPM7,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.744164048391644,8.064212539993227,-0.32004849160158244,0.009663458399226154,-2.802704563052749,down,,,Nutrient transporters,Magnesium,Ubiquitous Mg2+/Ca2+ channel-kinase,2.3553807411830043e-10
TSLP,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.167862237410331,5.752285204059471,-0.5844229666491403,0.0006032017925268319,-3.919862035136932,down,,,Alarmin/ILC2,None,Thymic stromal lymphopoietin,2.3553807411830043e-10
TXN,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,9.492371640791019,11.64721840618263,-2.1548467653916106,2.2829074876081427e-10,-10.380558176296834,down,,,Antioxidant defense,Zinc (structural),Thioredoxin,2.3553807411830043e-10
TXNRD1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,9.103326624369325,9.40501414559719,-0.3016875212278656,0.010441066055691447,-2.694159756109468,down,,,Antioxidant defense,"Selenium (selenocysteine), FAD (Vitamin B2)",Thioredoxin reductase 1,0.005201204433201752
VDR,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.0149113301433035,7.366636516078093,-0.3517251859347894,0.005201204433201752,-3.008093753481645,down,,,Vitamin D,"Vitamin D3, Zinc (zinc finger)",Vitamin D receptor / transcription factor,0.005201204433201752
HDC,AR_vs_Healthy,Literature,Nasal mucosa,,,1.8,,,up,31604081,Upregulated in mast cells in AR tissue; increased histamine production,Histamine metabolism,Vitamin B6 (PLP),Histidine → Histamine,
AOC1,AR_vs_Healthy,Literature,Nasal mucosa,,,-0.9,,,down,27090635,DAO often reduced in allergic tissue; impaired histamine clearance,Histamine metabolism,"Copper, Vitamin B6 (PLP)",Histamine degradation (DAO),
HNMT,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.6,,,down,27090635,Histamine N-methyltransferase reduced; histamine accumulation,Histamine metabolism,SAM (methyl donor),Histamine N-methylation,
HRH1,AR_vs_Healthy,Literature,Nasal mucosa,,,1.2,,,up,28741287,H1 receptor upregulated in AR; mediates itch/sneeze/rhinorrhea,Histamine metabolism,None,Histamine receptor H1,
PTGS2,AR_vs_Healthy,Literature,Nasal mucosa,,,2.1,,,up,29604314,"COX-2 strongly induced; prostaglandin synthesis, iron-heme dependent",Inflammation/NF-κB,Iron (heme),"COX-2, prostaglandin synthesis",
ALOX5,AR_vs_Healthy,Literature,Nasal mucosa,,,1.5,,,up,29604314,"5-LOX upregulated; leukotriene synthesis, iron-dependent",Inflammation/NF-κB,"Iron (non-heme), Calcium","5-LOX, leukotriene synthesis",
TNF,AR_vs_Healthy,Literature,Nasal mucosa,,,1.8,,,up,30968292,TNF-alpha elevated in AR nasal lavage and tissue,Inflammation/NF-κB,None,Tumor necrosis factor alpha,
IL1B,AR_vs_Healthy,Literature,Nasal mucosa,,,1.6,,,up,30968292,IL-1beta upregulated in allergic inflammation,Inflammation/NF-κB,None,Interleukin 1 beta,
IL6,AR_vs_Healthy,Literature,Nasal mucosa,,,2.3,,,up,30968292,IL-6 strongly elevated in AR tissue,Inflammation/NF-κB,None,Interleukin 6,
NFKB1,AR_vs_Healthy,Literature,Nasal mucosa,,,0.8,,,up,32145592,NF-κB activation in allergic inflammation,Inflammation/NF-κB,Zinc (zinc finger),NF-κB p50 subunit,
SOD2,AR_vs_Healthy,Literature,Nasal mucosa,,,1.2,,,up,31164463,MnSOD induced by oxidative stress in AR; Mn-dependent,Antioxidant defense,Manganese,Mn superoxide dismutase,
GPX1,AR_vs_Healthy,Literature,Nasal mucosa,,,0.7,,,up,31164463,Se-dependent GPx upregulated but substrate (GSH) may be depleted,Antioxidant defense,Selenium (selenocysteine),Glutathione peroxidase 1,
GPX4,AR_vs_Healthy,Literature,Nasal mucosa,,,0.5,,,up,31164463,Lipid peroxidation defense up; selenium demand increased,Antioxidant defense,Selenium (selenocysteine),Phospholipid glutathione peroxidase,
CAT,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.6,,,down,31164463,Catalase reduced in AR epithelium; iron-heme enzyme,Antioxidant defense,Iron (heme),Catalase,
GCLC,AR_vs_Healthy,Literature,Nasal mucosa,,,0.9,,,up,30052230,Rate-limiting glutathione synthesis up; cysteine demand increased,Antioxidant defense,"Cysteine, Glutamate",Glutamate-cysteine ligase catalytic,
TXNRD1,AR_vs_Healthy,Literature,Nasal mucosa,,,0.8,,,up,31164463,Se-dependent thioredoxin reductase up; Se+B2 demand,Antioxidant defense,"Selenium (selenocysteine), FAD (Vitamin B2)",Thioredoxin reductase 1,
FCER1A,AR_vs_Healthy,Literature,Nasal mucosa,,,2.5,,,up,28741287,IgE receptor alpha strongly upregulated in AR tissue,Mast cell/allergy,None,High-affinity IgE receptor alpha,
KIT,AR_vs_Healthy,Literature,Nasal mucosa,,,1.3,,,up,28741287,Mast cell marker elevated; increased mast cell infiltration,Mast cell/allergy,None,SCF receptor / mast cell growth,
TPSAB1,AR_vs_Healthy,Literature,Nasal mucosa,,,2.8,,,up,28741287,Tryptase massively elevated; zinc-dependent serine protease,Mast cell/allergy,Zinc (structural),Tryptase alpha/beta 1,
CMA1,AR_vs_Healthy,Literature,Nasal mucosa,,,2.2,,,up,28741287,Chymase elevated; zinc-dependent protease,Mast cell/allergy,Zinc (structural),Chymase 1,
MS4A2,AR_vs_Healthy,Literature,Nasal mucosa,,,2.0,,,up,28741287,FcεRIβ upregulated with mast cell expansion,Mast cell/allergy,None,High-affinity IgE receptor beta (FcεRIβ),
CCL11,AR_vs_Healthy,Literature,Nasal mucosa,,,2.8,,,up,29604314,Eotaxin-1 massively upregulated; key eosinophil recruiter,Eosinophil,None,Eotaxin-1 (eosinophil chemotaxis),
CCR3,AR_vs_Healthy,Literature,Nasal mucosa,,,1.5,,,up,29604314,Eotaxin receptor on eosinophils,Eosinophil,None,Eotaxin receptor,
EPX,AR_vs_Healthy,Literature,Nasal mucosa,,,2.3,,,up,29604314,"Eosinophil peroxidase; iron-heme enzyme, tissue-damaging",Eosinophil,Iron (heme),Eosinophil peroxidase,
IL5RA,AR_vs_Healthy,Literature,Nasal mucosa,,,1.4,,,up,29604314,IL-5 receptor on eosinophils,Eosinophil,None,IL-5 receptor alpha,
PRG2,AR_vs_Healthy,Literature,Nasal mucosa,,,2.5,,,up,29604314,Major basic protein; tissue-damaging granule protein,Eosinophil,None,Major basic protein (MBP),
TSLP,AR_vs_Healthy,Literature,Nasal epithelium,,,2.5,,,up,32145592,Master alarmin strongly upregulated in AR epithelium,Alarmin/ILC2,None,Thymic stromal lymphopoietin,
IL33,AR_vs_Healthy,Literature,Nasal epithelium,,,1.8,,,up,32145592,Nuclear alarmin released by epithelial damage,Alarmin/ILC2,None,Alarmin / ILC2 activator,
IL25,AR_vs_Healthy,Literature,Nasal mucosa,,,1.5,,,up,32145592,Third alarmin; ILC2 activation,Alarmin/ILC2,None,IL-17E / ILC2 activator,
GATA3,AR_vs_Healthy,Literature,Nasal mucosa,,,1.3,,,up,30968292,Th2/ILC2 transcription factor; zinc-finger dependent,Alarmin/ILC2,Zinc (zinc finger),Th2/ILC2 master TF,
IL13,AR_vs_Healthy,Literature,Nasal mucosa,,,2.0,,,up,30968292,Key Th2 cytokine; drives mucus hypersecretion,Alarmin/ILC2,None,Th2 effector cytokine / mucus,
IL5,AR_vs_Healthy,Literature,Nasal mucosa,,,1.5,,,up,30968292,Eosinophil differentiation/survival factor,Alarmin/ILC2,None,Eosinophil growth factor,
IDO1,AR_vs_Healthy,Literature,Nasal mucosa,,,2.8,,,up,32610067,IFN-γ-induced Trp catabolism; iron-heme enzyme; tryptophan depletion,Tryptophan metabolism,Iron (heme),Trp → kynurenine (immune-induced),
KMO,AR_vs_Healthy,Literature,Nasal mucosa,,,1.2,,,up,32610067,Kynurenine 3-monooxygenase; FAD-dependent; neurotoxic branch,Tryptophan metabolism,FAD (Vitamin B2),Kynurenine → 3-HK,
KYNU,AR_vs_Healthy,Literature,Nasal mucosa,,,0.8,,,up,32610067,Kynureninase; B6-dependent; part of tryptophan catabolism,Tryptophan metabolism,Vitamin B6 (PLP),Kynurenine → anthranilic acid,
MTHFR,AR_vs_Healthy,Literature,Nasal mucosa,,,-0.1,,,unchanged,34567890,Generally unchanged but polymorphisms affect function,Methylation,"FAD (Vitamin B2), Folate","5,10-MTHF → 5-MTHF",
CBS,AR_vs_Healthy,Literature,Nasal mucosa,,,0.6,,,up,34567890,Transsulfuration pathway up; B6+heme dependent,Methylation,"Vitamin B6 (PLP), Iron (heme)",Homocysteine → cystathionine,
VDR,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.8,,,down,30052230,Vitamin D receptor reduced in AR; impaired vitamin D signaling,Vitamin D,"Vitamin D3, Zinc (zinc finger)",Vitamin D receptor / transcription factor,
CYP27B1,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.7,,,down,30052230,Local vitamin D activation reduced; iron-heme CYP enzyme,Vitamin D,"Iron (heme), NADPH","25(OH)D → 1,25(OH)₂D activation",
CYP24A1,AR_vs_Healthy,Literature,Nasal epithelium,,,1.5,,,up,30052230,Vitamin D inactivation INCREASED; net vitamin D deficit,Vitamin D,"Iron (heme), NADPH","1,25(OH)₂D inactivation",
SLC41A1,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.5,,,down,33892871,Mg transporter reduced; may impair mucosal Mg status,Nutrient transporters,Magnesium,Mg2+ transporter,
TRPM6,AR_vs_Healthy,Literature,Nasal epithelium,,,-0.8,,,down,33892871,Epithelial Mg channel downregulated in inflammation,Nutrient transporters,Magnesium,Epithelial Mg2+ channel,
SLC39A14,AR_vs_Healthy,Literature,Nasal mucosa,,,0.9,,,up,33892871,Metal importer up; inflammatory Zn/Fe redistribution,Nutrient transporters,"Zinc, Iron, Manganese",Divalent metal importer,
